,总量,,,中餐厅,,,外国餐厅,,,快餐厅,,城市,甜品饮品店
郴州市,9531,,宝鸡市,6618,,铁岭市,141,,宁德市,1795,,邵阳市,914
宜春市,9511,,泸州市,6586,,蚌埠市,140,,孝感市,1793,,河源市,912
泸州市,9496,,鞍山市,6496,,焦作市,140,,东营市,1770,,云浮市,911
蚌埠市,9422,,黄冈市,6470,,河源市,140,,六安市,1765,,咸阳市,904
西宁市,9300,,黔南布依族苗族自治州,6459,,德阳市,140,,茂名市,1761,,运城市,901
宝鸡市,9269,,黔东南苗族侗族自治州,6449,,阳江市,138,,滁州市,1757,,钦州市,898
莆田市,9264,,蚌埠市,6374,,临汾市,136,,黄冈市,1747,,河池市,889
玉林市,9183,,赤峰市,6313,,宿州市,135,,营口市,1727,,滁州市,887
黄冈市,9102,,眉山市,6234,,常德市,135,,郴州市,1697,,丽水市,875
赤峰市,9012,,莆田市,6212,,岳阳市,134,,抚顺市,1693,,淮南市,875
大庆市,8948,,茂名市,6176,,潮州市,134,,龙岩市,1680,,毕节市,875
日照市,8810,,河源市,6161,,葫芦岛市,129,,西宁市,1657,,许昌市,865
河源市,8716,,大庆市,6076,,衡水市,128,,丽水市,1635,,广元市,856
邵阳市,8642,,绥化市,6050,,盘锦市,127,,鄂尔多斯市,1625,,宜昌市,853
龙岩市,8584,,鄂尔多斯市,6042,,大理白族自治州,127,,达州市,1618,,吉安市,845
湘潭市,8549,,日照市,5932,,宜宾市,125,,三门峡市,1616,,焦作市,836
黔东南苗族侗族自治州,8531,,长治市,5921,,马鞍山市,123,,怀化市,1610,,宁德市,826
黔南布依族苗族自治州,8504,,韶关市,5873,,湘潭市,123,,曲靖市,1608,,安庆市,794
韶关市,8420,,湘潭市,5858,,承德市,122,,朝阳市,1603,,凉山彝族自治州,789
绥化市,8271,,承德市,5731,,辽阳市,120,,德阳市,1598,,宿州市,776
孝感市,8257,,龙岩市,5731,,滁州市,120,,宣城市,1575,,濮阳市,774
鄂尔多斯市,8204,,孝感市,5669,,孝感市,118,,承德市,1561,,鞍山市,773
大同市,8195,,吕梁市,5619,,黄冈市,118,,马鞍山市,1528,,永州市,770
东营市,8088,,玉林市,5588,,玉林市,118,,宜春市,1512,,芜湖市,768
营口市,8055,,邵阳市,5585,,怀化市,117,,永州市,1509,,黄冈市,767
长治市,7951,,宣城市,5547,,西宁市,117,,牡丹江市,1507,,包头市,763
承德市,7881,,营口市,5534,,邵阳市,115,,汉中市,1507,,张家口市,761
宣城市,7759,,吉安市,5498,,鄂尔多斯市,114,,河源市,1503,,衢州市,759
丽水市,7743,,四平市,5496,,安庆市,113,,湘潭市,1501,,延边朝鲜族自治州,758
益阳市,7707,,大同市,5468,,平顶山市,113,,绥化市,1489,,怀化市,755
怀化市,7705,,东营市,5446,,濮阳市,113,,四平市,1486,,临汾市,752
吉安市,7701,,佳木斯市,5410,,本溪市,112,,漯河市,1484,,三明市,744
淮南市,7654,,通辽市,5383,,四平市,108,,红河哈尼族彝族自治州,1460,,吉林市,737
宁德市,7637,,呼伦贝尔市,5359,,淮南市,107,,长治市,1446,,黔南布依族苗族自治州,727
吕梁市,7576,,淮南市,5331,,永州市,107,,韶关市,1446,,秦皇岛市,723
延边朝鲜族自治州,7565,,益阳市,5299,,达州市,107,,三明市,1439,,渭南市,706
四平市,7551,,楚雄彝族自治州,5246,,林芝市,106,,百色市,1421,,蚌埠市,700
牡丹江市,7491,,怀化市,5223,,朝阳市,105,,通辽市,1416,,昭通市,699
呼伦贝尔市,7435,,漯河市,5208,,北海市,104,,十堰市,1398,,西宁市,696
广安市,7427,,牡丹江市,5173,,红河哈尼族彝族自治州,104,,梧州市,1371,,齐齐哈尔市,695
遂宁市,7363,,广安市,5170,,六安市,103,,吕梁市,1370,,抚州市,692
锦州市,7335,,延边朝鲜族自治州,5097,,恩施土家族苗族自治州,102,,抚州市,1369,,娄底市,692
通辽市,7317,,恩施土家族苗族自治州,5068,,益阳市,102,,汕尾市,1366,,东营市,691
漯河市,7301,,凉山彝族自治州,5021,,宜春市,101,,毕节市,1364,,玉溪市,691
潮州市,7178,,丽水市,5010,,大同市,100,,呼伦贝尔市,1361,,日照市,680
佳木斯市,7161,,抚州市,4978,,咸阳市,100,,南平市,1352,,孝感市,677
马鞍山市,7136,,六盘水市,4925,,通辽市,98,,淮南市,1341,,六安市,672
抚州市,7116,,安顺市,4925,,乐山市,98,,黔东南苗族侗族自治州,1340,,黔东南苗族侗族自治州,665
汉中市,7031,,汉中市,4915,,宣城市,96,,眉山市,1336,,晋中市,663
三门峡市,7011,,广元市,4844,,曲靖市,96,,贵港市,1330,,马鞍山市,658
南平市,6984,,三门峡市,4843,,松原市,95,,葫芦岛市,1326,,榆林市,651
永州市,6942,,马鞍山市,4827,,晋中市,94,,泸州市,1317,,来宾市,644
三明市,6910,,宁德市,4820,,舟山市,93,,北海市,1298,,丽江市,639
百色市,6888,,潮州市,4763,,榆林市,93,,吉安市,1276,,三亚市,636
汕尾市,6824,,玉溪市,4755,,白山市,91,,大理白族自治州,1271,,赤峰市,635
阳江市,6822,,遂宁市,4659,,衢州市,91,,丹东市,1252,,文山壮族苗族自治州,634
恩施土家族苗族自治州,6784,,锦州市,4581,,云浮市,91,,黔南布依族苗族自治州,1247,,大同市,633
凉山彝族自治州,6730,,昭通市,4581,,泸州市,91,,铁岭市,1196,,巴中市,632
内江市,6726,,黔西南布依族苗族自治州,4575,,景德镇市,90,,潮州市,1193,,西双版纳傣族自治州,623
玉溪市,6685,,三明市,4562,,白城市,89,,延边朝鲜族自治州,1190,,衡水市,621
朝阳市,6613,,南平市,4559,,淮北市,89,,河池市,1170,,黄石市,611
广元市,6586,,永州市,4556,,梧州市,89,,娄底市,1169,,宝鸡市,599
楚雄彝族自治州,6580,,丽江市,4541,,黄石市,87,,益阳市,1166,,营口市,596
安顺市,6507,,朝阳市,4510,,长治市,86,,玉溪市,1154,,锦州市,591
贵港市,6464,,阳江市,4497,,渭南市,86,,黄石市,1150,,楚雄彝族自治州,590
北海市,6383,,文山壮族苗族自治州,4495,,玉溪市,85,,忻州市,1141,,绥化市,587
